,generic,congruent,incongruent,implausible
59402f40e9b44100013b1789,0.9142507074287456,1.0,0.8521557458090854,0.8984653834866381
59de425bbe399f0001e4975e,0.9142507074287456,0.9216739550012043,0.9163757989992909,0.7453141840131947
5b6baad47e435d0001c1c88f,1.0,1.0,0.8054804949681451,0.8927887465162205
5b74413e722bd2000195c067,0.8825559560970593,0.8921672267965616,1.0,0.8054804949681451
5ba4d6c929629d00014e6c28,0.8787321874818335,1.0,0.7994261107285615,0.8984653834866381
5badf0aeae1d020001df2cc7,0.91695452014626,1.0,0.8248576389739852,0.8984653834866381
5c6d938c79151c00017c7560,0.8082587527881574,0.9211889593760899,0.91695452014626,0.8954583253021366
5c74f0d525c76b0010706736,1.0,1.0,0.7994261107285615,0.8394596752330161
5c9124ef3b7f9e0013728485,1.0,0.8686935671402775,0.8005689911956335,0.8762820851736516
5cae09506d573900175d4727,0.91695452014626,1.0,0.889903623487364,0.8024540806700821
5cb304b63742a400153b756d,0.91695452014626,1.0,0.9216739550012043,0.9260778729045427
5ccc758ab11510001584a1af,1.0,0.9211889593760899,1.0,0.8984653834866381
5cd98287b0c5ec0001e0965a,0.91695452014626,0.9163757989992909,0.8259223440443022,0.8989847455447789
5cdeaeb3557fbd00018a2c59,0.8787321874818335,0.913613157441864,0.9301569704230421,1.0
5cf92c7255e1370001e54adb,0.91695452014626,1.0,0.8643353105061596,0.9012270403350411
5d29fbc8f91bdd0016e98503,1.0,1.0,1.0,0.8152127129280409
5d36ff998129260015c6de19,0.91695452014626,0.8817375208021835,0.8551586351244197,1.0
5d6e3252dfe6d10001dbe508,0.9142507074287456,0.8686935671402775,1.0,0.8241368854718353
5d94c6f5dc0b0e001465072e,1.0,0.8921672267965616,1.0,0.9260778729045427
5da60411423c170017b7dc0f,0.9142507074287456,0.9098330365332568,1.0,0.8289202154463398
5dc56fbac34fc53e4e78b820,0.91695452014626,0.8892302448756577,0.9237507148336976,0.8289202154463398
5e29e902c2253a0587298e26,0.9142507074287456,1.0,0.8433479100024085,0.8024540806700821
5e5eb4843accc91e2443212f,1.0,0.9241901956421097,0.8259223440443022,1.0
5e87a0b5fc57a7415442f97e,0.91695452014626,0.9199359230974564,0.9282041841382261,0.8984653834866381
5e9948b69223aa17c21564f4,0.91695452014626,0.8867722965855405,0.8954583253021366,0.8726570920065974
5e99e838545b26058749d068,0.91695452014626,0.9211889593760899,0.9260778729045427,0.882148869802242
5ecba4b6ef75d53505406d57,1.0,1.0,0.9221501055838477,0.8984653834866381
5ecd7b06a1a9170e7806f51e,0.9142507074287456,1.0,1.0,0.840280858750015
5ed8be74a4175a01156004b0,1.0,0.9241901956421097,1.0,0.7969307669732761
5edaa4924ea9bd6f14f3d618,0.9142507074287456,0.8686935671402775,0.8241368854718353,0.8984653834866381
5edbaae1b9f9f68349ce80f3,0.9142507074287456,1.0,0.8347050987731784,0.7481773756265306
5ef109c89196fa6d5cf6c005,0.91695452014626,0.8054804949681451,0.8564083682764524,0.8564083682764524
5ef8a0b375e30603ebc12510,0.8787321874818335,1.0,0.8845299461620748,0.8726570920065974
5f1b69a1459c1e0009a83009,0.9142507074287456,0.9216739550012043,0.9216739550012043,0.8564083682764524
5f2dbc04160a0f0d88ee4440,1.0,0.8817375208021835,1.0,0.8960249510179927
5f31671e69023f000b0c0547,0.8825559560970593,0.8285014148574912,0.9241901956421097,0.9241901956421097
5f3c2701fa55251a108b07e6,0.91695452014626,0.9221501055838477,0.8852921330647191,0.8756459991565483
